"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"1","2026/08/03","開業費","","","","課税仕入 10%","","2500","役員借入金","","","","対象外","","2500","振込*アイチケンギヨウセイシヨシカイ","",""
"2","2026/08/04","普通預金","","","","対象外","","500000","資本金","","","","対象外","","500000","振込*ヨシムラ ユウスケ","",""
"3","2026/08/05","開業費","","","","課税仕入 10%","","520","役員借入金","","","","対象外","","520","ザイムシヨウカイケイセンター (12026080514091387702)","",""
"5","2026/08/05","普通預金","","","","対象外","","500000","資本金","","","","対象外","","500000","","","日栄先生"
